fabric_id,fullname,isactive
9,400952,1
9,400953,1
9,400954,1
9,400955,1
9,400956,1
9,400957,1
9,400958,1
9,400959,1
9,400960,1
9,400961,1
9,400962,1
9,400963,1
9,400964,1
9,400965,1
9,400966,1
9,400967,1
9,400968,1
9,400969,1
9,400970,1
9,400971,1
9,400972,1
9,400973,1
10,400902,1
10,400903,1
10,400906,1
10,400907,1
10,400908,1
10,400911,1
10,400912,1
10,400913,1
10,400915,1
10,400916,1
10,400917,1
10,400919,1
10,400921,1
10,400922,1
10,400923,1
10,400924,1
10,400925,1
10,400927,1
10,400928,1
10,400929,1
10,400930,1
10,400931,1
10,400932,1
10,400933,1
10,400934,1
10,400935,1
10,400936,1
10,400937,1
10,400938,1
10,400939,1
10,400940,1
10,400943,1
10,400944,1
10,400945,1
10,400946,1
10,400947,1
10,400948,1
10,400949,1
10,400950,1
10,400951,1
10,400952,1
10,400953,1
10,400954,1
10,400955,1
10,400956,1
10,400957,1
10,400958,1
10,400959,1
10,400960,1
10,400961,1
10,400962,1
10,400963,1
10,400964,1
10,400965,1
10,400966,1
10,400967,1
10,400968,1
10,400969,1
10,400970,1
10,400971,1
10,400972,1
10,400973,1
11,400902,1
11,400903,1
11,400906,1
11,400907,1
11,400908,1
11,400911,1
11,400912,1
11,400913,1
11,400915,1
11,400916,1
11,400917,1
11,400919,1
11,400921,1
11,400922,1
11,400923,1
11,400924,1
11,400925,1
11,400927,1
11,400928,1
11,400929,1
11,400930,1
11,400931,1
11,400932,1
11,400933,1
11,400934,1
11,400935,1
11,400936,1
11,400937,1
11,400938,1
11,400939,1
11,400940,1
11,400943,1
11,400944,1
11,400945,1
11,400946,1
11,400947,1
11,400948,1
11,400949,1
11,400950,1
11,400951,1
11,400952,1
11,400953,1
11,400954,1
11,400955,1
11,400956,1
11,400957,1
11,400958,1
11,400959,1
11,400960,1
11,400961,1
11,400962,1
11,400963,1
11,400964,1
11,400965,1
11,400966,1
11,400967,1
11,400968,1
11,400969,1
11,400970,1
11,400971,1
11,400972,1
11,400973,1
12,400902,1
12,400903,1
12,400906,1
12,400907,1
12,400908,1
12,400911,1
12,400912,1
12,400913,1
12,400915,1
12,400916,1
12,400917,1
12,400919,1
12,400921,1
12,400922,1
12,400923,1
12,400924,1
12,400925,1
12,400927,1
12,400928,1
12,400929,1
12,400930,1
12,400931,1
12,400932,1
12,400933,1
12,400934,1
12,400935,1
12,400936,1
12,400937,1
12,400938,1
12,400939,1
12,400940,1
12,400943,1
12,400944,1
12,400945,1
12,400946,1
12,400947,1
12,400948,1
12,400949,1
12,400950,1
12,400951,1
12,400952,1
12,400953,1
12,400954,1
12,400955,1
12,400956,1
12,400957,1
12,400958,1
12,400959,1
12,400960,1
12,400961,1
12,400962,1
12,400963,1
12,400964,1
12,400965,1
12,400966,1
12,400967,1
12,400968,1
12,400969,1
12,400970,1
12,400971,1
12,400972,1
12,400973,1
13,105529,1
13,105530,1
13,105531,1
13,105532,1
13,105533,1
13,105534,1
13,105535,1
13,105536,1
13,105537,1
13,105538,1
13,105539,1
13,105540,1
13,105541,1
13,105542,1
13,105543,1
13,105544,1
13,105545,1
13,105546,1
13,105547,1
13,105548,1
13,105549,1
13,105550,1
13,105551,1
13,105552,1
13,105553,1
13,105554,1
13,105555,1
13,105556,1
13,105557,1
13,105558,1
13,105559,1
13,105560,1
13,105561,1
13,105562,1
13,105563,1
13,105564,1
13,105565,1
13,105566,1
13,105567,1
13,105568,1
13,105569,1
13,105570,1
13,105571,1
13,105572,1
13,105573,1
13,105574,1
13,105575,1
13,105576,1
13,105577,1
13,105578,1
13,105579,1
13,105580,1
13,105581,1
13,105582,1
13,105583,1
13,105584,1
13,105585,1
13,105586,1
13,105587,1
13,105588,1
13,105589,1
13,105590,1
13,105591,1
13,105592,1
13,105593,1
13,105594,1
13,105595,1
13,105596,1
13,105597,1
13,105598,1
13,105599,1
13,105600,1
13,105601,1
13,105602,1
13,105603,1
13,105604,1
13,105605,1
13,105606,1
13,105607,1
13,105608,1
13,105609,1
13,105610,1
13,105611,1
13,105612,1
13,105613,1
13,105614,1
13,105615,1
13,105616,1
13,105617,1
13,105618,1
13,105619,1
13,105620,1
13,105621,1
13,105622,1
13,105623,1
13,105624,1
13,105625,1
13,105626,1
13,105627,1
13,105628,1
13,105629,1
13,105630,1
13,105631,1
13,105632,1
13,105633,1
13,105634,1
13,105635,1
13,105636,1
13,105637,1
13,105638,1
13,105639,1
13,105640,1
13,105641,1
13,105642,1
13,105643,1
13,105644,1
13,105645,1
13,105646,1
13,105647,1
13,105648,1
13,105649,1
13,105650,1
13,105651,1
13,105652,1
13,105653,1
13,105654,1
13,105655,1
13,105656,1
13,105657,1
13,105658,1
13,105659,1
13,105660,1
13,105661,1
13,105662,1
13,105663,1
13,105664,1
13,105665,1
13,105666,1
13,105667,1
13,105668,1
13,105669,1
13,105670,1
13,105671,1
13,105672,1
13,105673,1
13,105674,1
13,105675,1
14,103450,1
14,103451,1
14,103452,1
14,103453,1
14,103454,1
14,103455,1
14,103456,1
14,103457,1
14,103458,1
14,103459,1
14,103460,1
14,103461,1
14,103462,1
14,103463,1
14,103464,1
14,103465,1
14,103468,1
14,103469,1
14,103470,1
14,103471,1
14,103472,1
14,103473,1
14,103474,1
14,103475,1
14,103476,1
14,103477,1
14,103478,1
14,103479,1
14,103480,1
14,103481,1
14,103482,1
14,103483,1
14,103484,1
14,103486,1
14,103487,1
14,103488,1
14,103490,1
14,103492,1
14,103494,1
14,103495,1
14,103496,1
14,103497,1
14,103498,1
14,103500,1
14,103501,1
14,103502,1
14,103505,1
14,103506,1
14,103507,1
14,103508,1
14,103509,1
14,103510,1
14,103512,1
14,103513,1
14,103514,1
14,103515,1
14,103516,1
14,103517,1
14,103518,1
14,103519,1
14,103520,1
14,103521,1
14,103522,1
14,103523,1
14,103524,1
14,103525,1
14,103526,1
14,103527,1
14,103528,1
14,103529,1
14,103530,1
14,103532,1
14,103533,1
14,103534,1
14,103535,1
14,103536,1
14,103537,1
14,103538,1
14,103539,1
14,103540,1
14,103541,1
14,103542,1
14,103543,1
14,103544,1
14,103545,1
14,103546,1
14,103547,1
14,103548,1
14,103549,1
14,103550,1
14,103551,1
14,103552,1
14,103553,1
14,103554,1
14,103555,1
14,103556,1
14,103557,1
14,103560,1
14,103561,1
14,103562,1
14,103563,1
14,103564,1
14,103565,1
14,103566,1
14,103567,1
14,103568,1
14,103569,1
14,103570,1
14,103571,1
14,103572,1
14,103573,1
14,103574,1
14,103575,1
14,103577,1
14,103578,1
14,103579,1
14,105063,1
14,105064,1
14,105065,1
14,105066,1
14,105067,1
14,105069,1
14,105070,1
14,105071,1
14,105072,1
14,105073,1
14,105074,1
14,105075,1
14,105076,1
14,105077,1
14,105078,1
14,105079,1
14,105080,1
14,105081,1
14,105082,1
14,105083,1
14,105084,1
14,105085,1
14,105086,1
14,105088,1
14,105089,1
14,105090,1
14,105091,1
14,105092,1
14,105093,1
14,105094,1
14,105095,1
14,105096,1
14,105097,1
14,105098,1
14,105099,1
15,513178,1
15,513179,1
15,514003,1
15,514004,1
15,514005,1
15,514006,1
15,514007,1
15,514783,1
15,514784,1
15,514785,1
15,514786,1
15,514787,1
15,514788,1
15,514789,1
15,514790,1
15,514791,1
15,514792,1
15,514793,1
15,514794,1
15,514795,1
15,514796,1
15,514797,1
15,514798,1
15,514799,1
15,514800,1
15,514801,1
15,514802,1
15,514803,1
15,514804,1
15,514805,1
15,514806,1
15,514807,1
15,514808,1
15,514809,1
15,514810,1
15,514811,1
15,514812,1
15,514813,1
15,514814,1
15,514815,1
15,514816,1
15,514817,1
15,514818,1
15,514819,1
15,514820,1
15,514821,1
15,514822,1
15,514823,1
15,514824,1
15,514825,1
15,514826,1
15,514827,1
15,514828,1
15,514829,1
15,514830,1
15,514831,1
15,514832,1
15,514833,1
15,514834,1
15,514835,1
15,514836,1
15,514837,1
15,514838,1
15,514839,1
15,514840,1
15,514841,1
15,514842,1
15,514843,1
15,514844,1
16,512038,1
16,512085,1
16,512086,1
16,512087,1
16,512088,1
16,512089,1
16,513118,1
16,513119,1
16,513120,1
16,513121,1
16,513122,1
16,513218,1
16,513219,1
16,513220,1
16,513221,1
16,513222,1
16,513587,1
16,513589,1
16,513590,1
16,513593,1
16,513594,1
16,513595,1
16,513596,1
16,513597,1
16,513598,1
16,513604,1
16,513605,1
16,513606,1
16,513607,1
16,513608,1
16,513617,1
16,513618,1
16,513619,1
16,513620,1
16,513621,1
16,513622,1
16,513623,1
16,513624,1
16,513626,1
16,513628,1
16,513630,1
16,513631,1
16,513634,1
16,513635,1
16,513636,1
16,513637,1
16,513638,1
16,513639,1
16,513640,1
16,513641,1
16,513642,1
16,513974,1
16,513976,1
16,513978,1
16,514012,1
16,514013,1
16,514014,1
16,514556,1
16,514557,1
16,514558,1
16,514574,1
16,514575,1
16,514586,1
16,514587,1
16,514588,1
16,514589,1
16,514590,1
16,514595,1
16,514819,1
17,511921,1
17,511922,1
17,511923,1
17,511924,1
17,511925,1
17,511926,1
17,511927,1
17,511928,1
17,511929,1
17,511930,1
17,511931,1
17,511932,1
17,511933,1
17,511934,1
17,511935,1
17,511936,1
17,511937,1
17,511938,1
17,511939,1
17,511940,1
17,511941,1
17,511944,1
17,511945,1
17,511946,1
17,511947,1
17,511948,1
17,511949,1
17,511952,1
17,511954,1
17,511955,1
17,511956,1
17,511957,1
17,511958,1
17,511960,1
17,511961,1
17,511962,1
17,511963,1
17,511964,1
17,511965,1
17,511966,1
17,511967,1
17,511968,1
17,511970,1
17,511971,1
17,511972,1
17,511973,1
17,511974,1
17,511976,1
17,511977,1
17,511978,1
17,511979,1
17,511980,1
17,511981,1
17,511982,1
17,511983,1
17,511984,1
17,511986,1
17,511987,1
17,511988,1
17,511989,1
17,511991,1
17,511992,1
17,511993,1
17,511998,1
17,513353,1
17,513354,1
17,513355,1
17,513356,1
17,513357,1
17,513359,1
17,513360,1
17,513361,1
17,513362,1
17,513363,1
17,513364,1
17,513365,1
17,513366,1
17,513368,1
17,513369,1
17,513370,1
17,513372,1
17,513374,1
17,514621,1
17,514622,1
17,514623,1
17,514629,1
17,514630,1
17,514915,1
17,514916,1
17,514917,1
17,514918,1
17,514919,1
18,514846,1
18,514847,1
18,514848,1
18,514849,1
18,514850,1
18,514851,1
18,514852,1
18,514853,1
18,514854,1
18,514855,1
18,514856,1
18,514857,1
18,514858,1
18,514859,1
18,514860,1
18,514861,1
18,514863,1
18,514864,1
18,514865,1
18,514866,1
18,514867,1
18,514868,1
18,514869,1
18,514870,1
18,514871,1
18,514872,1
18,514873,1
18,514874,1
18,514875,1
18,514876,1
18,514877,1
18,514878,1
18,514879,1
18,514880,1
18,514881,1
18,514882,1
18,514883,1
18,514884,1
18,514885,1
18,514886,1
18,514887,1
18,514888,1
18,514889,1
18,514890,1
19,510797,1
19,510800,1
19,510804,1
19,510805,1
19,510806,1
19,510807,1
19,510808,1
19,510809,1
19,510811,1
19,510812,1
19,510813,1
19,510814,1
19,510815,1
19,510816,1
19,510817,1
19,510818,1
19,510820,1
19,510821,1
19,510823,1
19,510824,1
19,510825,1
19,510826,1
19,510827,1
19,510828,1
19,510829,1
19,510968,1
19,510969,1
19,511245,1
19,511247,1
19,513213,1
19,513214,1
19,513246,1
19,513247,1
19,513248,1
19,513250,1
19,513251,1
19,513252,1
19,513253,1
19,514567,1
19,514568,1
20,514511,1
20,514512,1
20,514513,1
20,514514,1
20,514515,1
20,514516,1
20,514517,1
20,514518,1
20,514519,1
20,514520,1
20,514521,1
20,514522,1
20,514523,1
20,514524,1
20,514525,1
20,514527,1
20,514528,1
20,514529,1
20,514530,1
20,514532,1
20,514533,1
20,514534,1
20,514535,1
20,514537-min,1
20,514538,1
20,514540,1
20,514541,1
20,514542,1
20,514543,1
20,514544,1
20,514545,1
20,514546,1
20,514547,1
20,514548,1
20,514549,1
20,514550,1
20,514551,1
20,514552,1
20,514553,1
20,514554,1
20,514893,1
20,515471,1
20,515472,1
20,515473,1
20,515474,1
20,515475,1
20,515476,1
20,515477,1
20,515478,1
21,514481,1
21,514482,1
21,514483,1
21,514484,1
21,514485,1
21,514486,1
21,514487,1
21,514489,1
21,514490,1
21,514491,1
21,514492,1
21,514493,1
21,514494,1
21,514495,1
21,514496,1
21,514497,1
21,514498,1
21,514499,1
21,514500,1
21,514501,1
21,514502,1
21,514503,1
21,514504,1
21,514505,1
21,514506,1
21,514507,1
21,514508,1
21,514509,1
22,511169,1
22,511171,1
22,511172,1
22,511173,1
22,511174,1
22,511175,1
22,511176,1
22,511177,1
22,511178,1
22,511179,1
22,511180,1
22,511183,1
22,511184,1
22,511185,1
22,511186,1
22,511188,1
22,511189,1
22,511190,1
22,511191,1
22,511194,1
22,511195,1
22,511304,1
22,511308,1
22,511309,1
22,511311,1
22,511313,1
22,511314,1
22,511317,1
22,511319,1
22,511321,1
22,511322,1
22,511324,1
22,511325,1
22,511326,1
22,511327,1
22,511328,1
22,511329,1
22,511330,1
22,511335,1
22,512963,1
22,512964,1
22,512965,1
22,512966,1
22,512967,1
22,512968,1
22,512969,1
22,512970,1
22,512971,1
22,512972,1
22,512973,1
22,512974,1
22,513092,1
22,513093,1
22,513094,1
22,513095,1
22,513096,1
22,513097,1
22,513098,1
22,513684,1
22,513685,1
22,513688,1
22,513692,1
22,513695,1
22,513700,1
22,513709,1
22,513713,1
22,513714,1
22,513715,1
22,513716,1
22,513717,1
22,513718,1
22,513719,1
22,513720,1
22,513721,1
22,513722,1
22,513728,1
22,513732,1
22,513733,1
22,513734,1
22,513738,1
22,513740,1
22,513741,1
22,513748,1
22,513749,1
22,513750,1
22,513751,1
22,513753,1
22,513754,1
22,513761,1
22,513762,1
22,513765,1
22,513767,1
22,513770,1
22,514049B,1
22,514049F,1
22,514050B ,1
22,514050F,1
22,514054B,1
22,514054F,1
22,514055F,1
22,514056B,1
22,514056F,1
22,514057B,1
22,514057F,1
22,514059B,1
22,514059F,1
22,514060B,1
22,514060F,1
22,514061F,1
22,514063B,1
22,514063F,1
22,514064B,1
22,514064F,1
22,514065B,1
22,514065F,1
22,514066B,1
22,514066F,1
22,514067B,1
22,514067F,1
22,514068B,1
22,514068F,1
22,514070B,1
22,514070F,1
22,514071B,1
22,514071F,1
22,514072B,1
22,514072F,1
22,514073B,1
22,514073F,1
22,514074B,1
22,514074F,1
22,514075,1
22,514077,1
22,514079,1
22,514082,1
22,514083,1
22,514085,1
22,514086,1
22,514087,1
22,514089,1
22,514091,1
22,514092,1
22,514099,1
22,514100,1
22,514104,1
22,514105,1
22,514106,1
22,514107,1
22,514108,1
22,514109,1
22,514111,1
22,514112,1
22,514113,1
22,514115,1
22,514117,1
22,514119,1
22,514120,1
22,514125,1
22,514126,1
22,514130,1
22,514132,1
22,514133,1
22,514134,1
22,514135,1
22,514136,1
22,514137,1
22,514138,1
22,514139,1
22,514140,1
22,514141,1
22,514142,1
22,514143,1
22,514145,1
22,514147,1
22,514148,1
22,514152,1
